customer_id,age,gender,region,annual_income,tenure_months,subscription_tier,num_purchases_last_year,avg_order_value,total_spent_last_year,days_since_last_purchase,returns_last_year,email_open_rate,app_sessions_last_month,avg_session_duration_min,support_tickets_last_year,loyalty_points,referral_count,marketing_opt_in,churned
100000,43,Female,South,51700.0,22,Basic,0,22.48,0.0,6,0,0.462,1,3.1,1,0,0,1,1
100001,25,Female,West,17200.0,11,Basic,9,86.84,781.56,12,0,0.079,7,7.5,0,178,0,0,0
100002,49,Female,South,47900.0,12,Premium,9,116.38,1047.42,82,0,0.33,5,5.46,1,763,0,1,1
100003,51,Female,East,58600.0,12,Premium,11,86.25,948.75,72,0,0.502,3,8.76,2,476,0,1,0
100004,18,Male,West,24300.0,18,Standard,6,70.08,420.48,18,0,0.417,1,21.41,2,478,0,1,0
100005,22,Female,South,33100.0,18,Basic,7,60.98,426.86,9,0,0.81,2,2.95,2,294,0,1,0
100006,41,Male,East,30600.0,60,Premium,21,108.38,2275.98,29,1,0.404,10,4.97,1,982,1,0,0
100007,35,Female,North,28000.0,32,Basic,8,60.65,485.2,44,0,0.437,1,0.51,0,72,0,0,0
100008,39,Male,North,,32,Basic,6,50.66,303.96,23,0,0.033,9,33.39,0,59,2,1,0
100009,28,Female,Central,25800.0,27,Standard,8,110.32,882.56,65,0,0.599,7,3.04,0,643,0,0,1
100010,50,Male,North,48900.0,29,Basic,4,28.36,113.44,41,0,0.484,4,6.54,3,280,1,1,1
100011,49,Male,South,58800.0,34,Premium,12,81.37,976.44,40,0,0.507,6,2.93,1,734,1,1,1
100012,40,Female,East,35900.0,10,Standard,4,96.92,387.68,50,0,0.467,0,4.82,1,0,2,0,1
100013,54,Male,South,77700.0,23,Premium,12,83.42,1001.04,40,0,0.705,12,4.65,1,494,0,1,0
100014,45,Female,North,36100.0,13,Basic,6,29.5,177.0,46,0,,3,6.01,1,446,0,1,1
100015,28,Male,North,37500.0,47,Basic,8,69.52,556.16,74,0,0.434,3,3.0,2,164,1,0,1
100016,44,Male,East,42200.0,16,Premium,12,104.43,1253.16,54,0,0.434,8,6.19,1,659,2,1,0
100017,27,Female,South,38700.0,34,Standard,3,77.44,232.32,20,0,0.733,7,1.2,1,147,0,0,0
100018,50,Female,West,51400.0,38,Standard,3,112.68,338.04,8,0,0.146,7,6.78,2,0,1,1,0
100019,38,Female,South,46700.0,30,Basic,3,8.51,25.53,108,0,0.644,6,2.31,1,72,0,1,1
100020,37,Male,Central,63100.0,28,Basic,5,99.44,497.2,16,0,0.399,9,26.5,0,405,2,1,0
100021,30,Male,South,29800.0,25,Standard,11,25.26,277.86,21,0,0.274,6,3.38,4,308,1,1,0
100022,55,Female,South,53400.0,40,Basic,6,8.02,48.12,22,0,0.484,6,20.47,0,0,0,0,0
100023,37,Female,Central,41600.0,13,Premium,8,121.54,972.32,25,1,0.348,6,7.26,2,431,1,0,1
100024,33,Female,West,62900.0,32,Basic,1,25.23,25.23,67,0,0.37,9,7.01,1,36,2,1,1
100025,34,Male,South,41900.0,5,Basic,5,30.13,150.65,26,0,0.084,12,11.8,0,264,1,1,1
100026,46,Female,South,71900.0,16,Standard,13,145.41,1890.33,74,0,0.421,13,8.52,0,1037,1,1,0
100027,44,Female,West,50200.0,17,Basic,4,23.27,93.08,102,0,0.5,10,,1,112,0,1,1
100028,44,Male,North,69400.0,8,Basic,3,47.95,143.85,61,0,0.161,5,16.38,0,19,0,1,1
100029,45,Female,South,59400.0,28,Basic,6,21.93,131.58,13,0,0.475,8,13.78,1,190,0,1,0
100030,67,Male,East,82300.0,14,Standard,11,47.52,522.72,82,0,0.191,2,5.48,1,257,0,1,1
100031,34,Female,West,23100.0,54,Basic,6,32.48,194.88,76,0,0.483,6,4.4,1,140,3,0,1
100032,32,Female,East,19100.0,21,Standard,8,20.91,167.28,10,0,0.141,6,13.23,3,184,0,1,0
100033,28,Male,East,52500.0,38,Premium,8,225.56,1804.48,43,0,0.682,19,8.83,2,914,1,1,0
100034,47,Female,Central,70400.0,48,Basic,4,26.77,107.08,8,0,0.126,14,5.85,2,299,0,0,0
100035,54,Female,North,96100.0,35,Basic,9,20.63,185.67,23,0,0.273,12,10.85,1,303,1,1,0
100036,38,Non-binary,West,26200.0,19,Basic,3,26.42,79.26,12,0,0.312,6,11.35,0,0,0,1,0
100037,28,Male,North,44300.0,25,Standard,7,24.98,174.86,7,0,0.533,8,20.06,0,106,0,1,0
100038,28,Male,West,23200.0,8,Standard,13,116.03,1508.39,91,1,0.663,5,13.9,0,807,2,1,1
100039,47,Female,East,45200.0,38,Premium,5,243.41,1217.05,5,0,0.568,7,18.2,2,686,0,1,0
100040,49,Female,South,50400.0,88,Premium,14,81.99,1147.86,54,3,0.596,8,3.35,1,652,0,0,0
100041,46,Female,East,60000.0,45,Basic,4,36.86,147.44,44,0,0.567,9,16.69,2,246,0,1,0
100042,30,Male,Central,30100.0,18,Basic,8,41.25,330.0,19,0,0.072,6,7.8,4,332,1,1,0
100043,42,Male,East,51300.0,20,Basic,4,19.3,77.2,81,0,0.088,12,2.71,1,49,2,1,1
100044,41,Male,North,61500.0,47,Standard,7,64.93,454.51,36,1,0.461,0,5.67,2,89,0,1,0
100045,42,Non-binary,North,66600.0,9,Basic,6,45.58,273.48,9,0,0.796,2,22.74,1,262,0,0,0
100046,50,Female,East,68100.0,15,Standard,9,75.6,680.4,14,0,0.322,9,10.39,1,111,1,1,0
100047,42,Male,West,57100.0,16,Standard,6,40.89,245.34,7,0,0.723,6,4.96,0,0,0,0,0
100048,48,Female,South,54500.0,5,Basic,3,33.74,101.22,10,0,0.708,3,12.26,2,0,3,0,0
100049,40,Female,South,40900.0,33,Standard,10,24.7,247.0,44,1,0.43,4,5.91,1,350,0,1,0
100050,43,Male,West,59300.0,18,Basic,8,5.0,40.0,72,1,0.357,19,3.13,0,279,0,1,1
100051,47,Male,South,40800.0,19,Premium,15,118.78,1781.7,136,1,0.551,8,3.06,0,1162,1,1,1
100052,20,Female,North,31600.0,27,Standard,4,87.53,350.12,41,0,0.272,5,9.01,1,220,0,1,1
100053,35,Female,South,29100.0,7,Standard,6,19.21,115.26,94,0,0.41,8,16.36,3,102,0,0,1
100054,33,Male,East,41700.0,23,Basic,4,8.41,33.64,93,0,0.572,7,20.61,1,53,1,1,1
100055,31,Female,Central,25600.0,6,Standard,5,69.4,347.0,41,0,0.558,3,3.83,2,184,0,0,1
100056,35,Male,East,38500.0,33,Standard,7,36.75,257.25,162,0,0.674,7,4.4,2,179,1,0,1
100057,58,Male,North,56500.0,51,Premium,8,89.59,716.72,23,0,0.418,1,9.92,0,408,0,0,0
