feature,importance
days_since_last_purchase,0.18664394
subscription_tier_Basic,0.07015354
support_tickets_last_year,0.06708033
marketing_opt_in,0.06635457
subscription_tier_Premium,0.06528238
returns_last_year,0.064565636
tenure_months,0.06378643
num_purchases_last_year,0.05125798
app_sessions_last_month,0.03347143
email_open_rate,0.025426136
subscription_tier_Standard,0.023690514
total_spent_last_year,0.023122584
loyalty_points,0.021565009
region_East,0.020723753
gender_Female,0.020500751
avg_order_value,0.020256346
region_North,0.019248882
region_Central,0.019103823
age,0.01873717
annual_income,0.018320153
avg_session_duration_min,0.01824163
region_West,0.017644504
gender_Non-binary,0.016694918
gender_Male,0.016200652
region_South,0.015976071
referral_count,0.015950833
